thermodynamics,热力学
switching equipment,开关设备
transmission line,输电线
angular momentum,角动量
torque,力矩
nuclear power plant,核电站
nuclear fuel,核燃料
uranium,铀
fission,裂变
reactor,反应堆
core,堆芯
pressure vessel,压力容器
shielding,屏蔽
nuclear reaction,核反应
fuel rod,燃料棒
isotope,同位素
neutron,中子
plutonium,钚
moderator,慢化剂
graphite,石墨
heavy water,重水
lightwater,轻水
control rod,控制棒
coolant,冷却剂
pressurized water reactor,压水反应堆
primary system,一次系统
secondary system,二次系统
enriched uranium,浓缩铀
boiling water reactor,沸水反应堆
fast breeder reactor,快中子增殖反应堆
molten sodium,融钠
helium,氦
gas-cooled reactor,气冷反应堆
pressurized heavy water reactor,压力重水反应堆
combined cycle,联合循环
Brayton cycle,布兰登循环
Isentropically,等熵
mechanical work,机械功
heat-recovery steam generator,余热锅炉
thermal efficiency,热效率
dual-cycle system,双循环系统
gas turbine,燃气轮机
selective catalytic reduction,选择性催化还原
integrated gasification combined cycle,整体煤气化联合循环
combustion efficiency,燃烧效率
industrial boiler,工业锅炉
utility boiler,电站锅炉
availability,可用率
reliability,可靠性
superheater,过热器
economizer,省煤器
reheater,再热器
capacity,容量
downcomer,下降管
riser,上升管
steam drum,汽包
natural circulation,自然循环
controlled circulation,控制循环
once-through boiler,直流锅炉
supercritical boiler,超临界压力锅炉
subcritical boiler,亚临界压力锅炉
boiler efficiency,锅炉效率
heat balance,热平衡
heat loss,热损失
excess air,过量空气
membrane wall,膜式壁
waterwall,水冷壁
casing,炉墙
insulation,保温
refractory,耐火材料
slag,结渣
erosion,腐蚀、侵蚀
studded tube,销钉管
dry-bottom furnace,固态排渣
wet-bottom furnace,液态排渣
fiy ash,飞灰
heating surface,受热面
convection bypass,对流烟道
superheat,过热
overheating,超温
convection superheater,对流过热器
radiant superheater,辐射过热器
seamless tube,无缝钢管
handhole cap,手孔盖
desuperheater(attemperator),减温器
spray-type attemperator,喷水减温器
pressure drop,压降
parallel flow,顺流
counter flow,逆流
flue gas bypass,烟气旁通
flue gas recirculation,烟气再循环
tilting burner,摆动式燃烧器
air preheater,空气预热器
exit flue gas temperature,排烟温度
tubular air preheater,管式空预热器
regenerative air preheater,回转式空预热器
header,联箱
tube sheet,管板
thermocouple,热电偶
acid dew point,酸露点
water dew point,水露点
steam coil air heater,蒸汽盘管式空气预热器
thermal energy,热能
nozzle,喷嘴
blade,动叶
kinetic energy,动能
rotor,转子
shaft,轴
impulse,冲动式
reaction,反动式
stage,级
2-row stage,双列级
Multistage,多级
throttling loss,节流损失
stage efficiency,级效率
internal efficiency,内效率
isentropic,等熵
available energy,可用能
reheat factor,再热系数
stop valve,截止阀
control valve,控制阀
exhaust hood,排气罩
piping,管道
valve-stem,阀杆
shaft-end packing,轴端汽封
bearing,轴承
oil-pump,油泵
internal combustion engine,内燃机
piston,活塞
reciprocating engine,往复式发动机
supercharger,增压器
aircraft,航天器
propulsion,推进、推进力
locomotive,火车头、机头
air compressor,空气压缩机
combustion chamber,燃烧室
turbine wheel,涡轮
propeller,"推进器,推进者,推进物"
turbo-prop engine,涡轮螺旋桨发动机
gear-box,变速箱
jet engine,喷气发动机
aero-engine,飞机引擎、航空发动机
altitude,高度
afterburner,喷射引擎等的加力燃烧室
turbofan engine,涡扇发动机
diesel engine,柴油机
runner,转轮
tail water,尾水
cavitation,气穴现象
vertical shaft,立轴
horizontal shaft,卧轴
reaction turbine,反动式透平
impulse turbine,冲动式透平
pitch angle,桨距角
runaway speed,失控速度
synchronous speed,同步速度
bucket,水斗
needle valve,针形阀
spiral case,蜗壳
circular set,座环
tubular turbine,贯流式
lift type,升力型
drag type,曳力型
airfoil,机翼、螺旋桨
orientation,方向
horizontal axis wind turbine,卧式风力机
vertical axis wind turbine,立式风力机
upwind,上风
downwind,下风
direction sensor,风向感受器
yaw,偏航
fatigue life,疲劳寿命
moment of inertia,转动惯量
hub,轮毂
aerodynamic,空气动力学的
pitchable blade,变桨距叶片
ordinate,纵坐标
abscissa,横坐标
vertical-spindle ball mill,立式球磨机
horizontal-tube mill,卧式筒式磨煤机
exhauster,排粉机
the central system,中仓式系统
the unit system,直吹式系统
coal feeder,给煤机
coal bunker,原煤斗
pulverized-coal fineness,煤粉细度
balanced draft,平衡通风
induced draft,引风通风
pressurized furnace,正压炉膛
centrifugal fan,离心式风机
radial blade,径向叶片
forward-curved blade,前弯叶片
backward-curved blade,后弯叶片
damper,挡板
inlet vane,入口叶片
variable-speed drive,变速驱动
axial fan,轴流风机
pneumatic signal,气动信号
flexible coupling,弹性联轴节
misalignment,未对准
noise pollution,噪声污染
silencer,消音器
discharge electrode,放电电极
collecting plate,集尘板
high-voltage DC current,高压直流电
ionize,电离
rapping system,振打系统
resistivity,电阻系数
electrostatic field,电场
mechanical collector,机械式除尘器
corona,电晕
electron flow,电流
ash-removal system,出灰系统
wet electrostatic precipitator,湿式电除尘器
flue gas desulfurization,烟气脱硫
lime,石灰
gypsum,石膏
mist eliminator,除雾器
absorption chamber,吸收室
corrosive,腐蚀
abrasive,磨损
chloride,氯化物
water box,水室
direct contact condenser,混合式凝汽器
condensate,凝结水
surface condenser,表面式凝汽器
air-cooled steam condenser,空冷式凝汽器
vaccum,真空
cooling tower,冷却塔
leakage,泄露
noncondensable gas,非凝结性气体
condensate pump,凝结水泵
hot well,热井
boil feed pump,锅炉给水泵
ejector system,抽汽系统
expansion joint,膨胀节
booster pump,升压泵、增压泵
Steam-turbine-driven pump,汽动泵
motor-driven pump,电动泵
hydraulic coupling,液力耦合器
circulating water pump,循环水泵
feed pump,给水泵
feed-regulating valve,给水调节阀
pressure/flow characteristic,压力/流量特性
system resistance,系统阻力
fixed-speed pump,定速泵
variable-speed pump,变速泵
discharge pressure,出口压力
startup,开启
in service,运行、服役
hydrostatic test,水压试验
safety valve,安全阀
boilout,煮炉
chemical cleaning,化学清洗
blowdown,排污
interlock,联锁
purging,吹扫
water level,水位
setpoint pressure,开启压力
closing pressure,关闭压力
the main steam line,主蒸汽管道
common steam line,蒸汽母管
normal operation,正常运行
automatic control,自动控制
flue gas analysis,烟气分析
draft gauge,风压计
in proportion,按比例
manual removal of the ash,手工除灰
regulator,调节器
monitor,监视器
alarm,报警
gauge glass,水位计
fuel-air ratio,空燃比
hand control,手工控制
melting temperature,融化温度
furnace exit,炉膛出口
three-element,三冲量
observation,观察
inspection,检查
symptom,症状
out of service,停用、退役
output,出力
shut off,切断
shut down,停止
nonreturn valve,止回阀
forced cooling,强制冷却
normal cooling,正常冷却
absorbent,吸附剂
ion-exchange equipment,离子交换器
oxygen scavenger,除氧剂
operating instruction,运行指令
emergency governor,紧急调节器
general procedure,一般步骤
synchronize,同步
operating characteristic,运行特性
control panel,控制面板
auxiliary oil pump,辅助油泵
instrument,仪器，器具
main oil pump,主油泵
cooling water,冷却水
overspeed,超速
normal speed,正常速度
oil-pressure gauge,油压计
temperature indicator,温度指示器
vibration monitor,振动监视器
regular inspection,定期检查
recuperator,同流换热器
fluidized-bed,流化床
noncondensable,非冷凝的
feedwater,给水
desuperheater,过热蒸汽减温器
immiscible,不相混的
shell-and-tube,壳管
methodology,方法论
optimum,优化
multidisciplinary,多学科
thermophysical property,热物理性质
fouling,污垢
cleanability,除尘度，可清洁性
plate-fin,板翼式
cryogenics,低温
noncorrosive,没有腐蚀性的
compact heat exchanger,板翘式热交换器
fin,散热翅片
sludge,污泥
wastewater treatment,废水处理
preheating,预热
maldistribution,分布不均
liquid-ring vacuum pump,液环真空泵
mesophilic digestion,中温（消化）
sludge digester,污泥消化池
dehumidification,去湿
